[[351.0, 46.6], [0.9, 0.0], [-2.5, 0.8]]
[[342.0, 45.2], [0.9, 0.0], [-2.5, 0.8]]
[[336.3, 46.2], [0.9, 0.0], [-2.5, 0.7]]
[[330.8, 47.0], [0.9, 0.0], [-2.4, 0.7]]
[[319.1, 46.3], [0.9, 0.0], [-2.5, 0.7]]
[[312.9, 47.8], [0.9, 0.0], [-2.6, 0.6]]
[[308.4, 47.8], [0.9, 0.0], [-2.6, 0.6]]
[[299.8, 47.8], [0.9, -0.1], [-2.6, 0.6]]
[[297.0, 49.1], [0.9, 0.0], [-2.6, 0.5]]
[[289.0, 50.2], [0.9, 0.0], [-2.6, 0.5]]
[[283.7, 51.7], [0.9, 0.0], [-2.7, 0.5]]
[[275.7, 52.3], [0.9, 0.0], [-2.9, 0.5]]
[[272.2, 54.0], [0.9, 0.0], [-2.9, 0.5]]
[[266.4, 55.6], [0.9, 0.0], [-2.8, 0.4]]
[[259.3, 57.2], [0.9, 0.0], [-2.8, 0.4]]
[[258.2, 58.8], [0.9, 0.0], [-2.8, 0.4]]
[[243.0, 60.1], [0.9, 0.0], [3.1, 0.4]]
[[237.9, 62.6], [0.9, 0.0], [3.1, 0.4]]
[[220.2, 64.6], [0.9, 0.0], [2.8, 0.4]]
[[211.7, 66.4], [0.9, 0.0], [2.8, 0.3]]
[[199.3, 68.9], [0.9, 0.0], [2.8, 0.3]]
[[190.0, 71.3], [0.9, 0.0], [2.8, 0.3]]
[[175.5, 75.2], [0.9, -0.1], [2.5, 0.3]]
[[159.6, 79.6], [0.9, -0.1], [2.5, 0.3]]
[[134.2, 88.6], [0.9, -0.2], [2.3, 0.4]]
[[123.1, 92.9], [0.9, -0.3], [2.6, 0.4]]
[[113.1, 92.1], [0.9, -0.3], [2.4, 0.5]]
[[109.3, 89.0], [0.9, -0.3], [2.4, 0.5]]
[[100.5, 91.2], [0.9, -0.4], [2.4, 0.5]]
[[91.1, 99.9], [0.8, -0.5], [2.6, 0.4]]
[[81.6, 111.3], [0.8, -0.5], [2.4, 0.4]]
[[72.5, 125.1], [0.7, -0.6], [2.4, 0.4]]
[[64.7, 140.2], [0.6, -0.7], [2.4, 0.4]]
[[58.0, 158.1], [0.5, -0.8], [2.4, 0.4]]
[[49.8, 196.8], [0.4, -0.8], [2.7, 0.5]]
[[47.0, 281.9], [0.2, -0.9], [2.7, 0.5]]
[[56.3, 350.9], [0.0, -0.9], [2.7, 0.5]]
[[72.5, 394.8], [-0.1, -0.9], [2.7, 0.5]]
[[94.2, 422.6], [-0.3, -0.9], [2.9, 0.6]]
[[117.4, 438.7], [-0.5, -0.8], [2.9, 0.6]]
[[132.2, 446.1], [-0.6, -0.7], [2.9, 0.7]]
[[117.8, 443.5], [-0.5, -0.8], [3.1, 0.7]]
[[122.1, 448.3], [-0.6, -0.7], [3.1, 0.8]]
[[125.8, 452.4], [-0.7, -0.7], [3.1, 0.8]]
[[112.1, 451.5], [-0.6, -0.7], [3.1, 0.8]]
[[106.4, 450.7], [-0.6, -0.7], [-3.0, 0.9]]
[[100.9, 453.4], [-0.6, -0.7], [-3.0, 0.9]]
[[95.6, 453.7], [-0.6, -0.7], [-3.0, 0.9]]
[[88.4, 452.0], [-0.6, -0.7], [-2.9, 1.0]]
[[90.7, 457.6], [-0.6, -0.7], [-2.9, 1.1]]
[[99.8, 461.5], [-0.7, -0.6], [-2.9, 1.2]]
[[88.0, 459.2], [-0.7, -0.7], [-2.8, 1.2]]
[[91.9, 461.3], [-0.7, -0.6], [-2.8, 1.2]]
[[92.7, 466.0], [-0.7, -0.6], [-2.8, 1.2]]
